"","percepcion_1_a","percepcion_1_b","percepcion_1_c","percepcion_2","percepcion_3","percepcion_5","percepcion_6","percepcion_38","percepcion_4","eval_gob_1","iden_pol_2","eval_act_pol_1_fh","eval_act_pol_1_p","eval_act_pol_1_ao","eval_act_pol_1_gp","eval_act_pol_1_ca","eval_act_pol_1_el","eval_act_pol_1_gm","eval_act_pol_1_gt","eval_act_pol_1_fo","eval_act_pol_1_go","eval_act_pol_1_gf","eval_act_pol_1_gq","eval_act_pol_1_fe","eval_act_pol_1_ae","eval_act_pol_1_gs","eval_act_pol_1_gu","eval_act_pol_1_em","eval_act_pol_1_en","eval_act_pol_1_dv","eval_act_pol_1_er","confianza_6_a","confianza_6_c","confianza_6_b","confianza_6_j","confianza_6_d","confianza_6_e","confianza_6_f","confianza_6_n","confianza_6_x","confianza_6_g","confianza_6_h","confianza_6_i","confianza_6_k","confianza_6_s","confianza_6_o","confianza_6_p","confianza_6_r","confianza_6_m","confianza_6_ab","pobreza_62","democracia_19","pp_congreso_61_b","rol_gobierno_5","democracia_21","democracia_21_a_1","democracia_21_a_2","democracia_21_b_1","democracia_21_b_2","democracia_21_c_1","democracia_21_c_2","democracia_20","democracia_35_a","democracia_35_b","democracia_35_c","democracia_35_d","democracia_35_e","democracia_35_f","democracia_35_g","democracia_35_h","democracia_35_i","democracia_35_j","democracia_35_k","ciudadania_28_a","ciudadania_28_c","pobreza_106_a","rol_gobierno_14_c","confianza_15_a","confianza_15_b","confianza_15_c","confianza_15_d","confianza_15_e","confianza_15_f","confianza_15_g","constitucion_30","constitucion_31","constitucion_3","constitucion_32_a","constitucion_32_b","constitucion_32_c","constitucion_33_a","constitucion_33_b","seguridad_37_a","seguridad_37_b","seguridad_37_c","seguridad_38_a","seguridad_38_b","democracia_36","dictadura_34_a","dictadura_34_b","salud_83","salud_84","sexo","edad","info_enc_61","esc_nivel_1","info_enc_56","info_enc_57","info_hogar_28_c","bienestar_13_a","bienestar_13_g","bienestar_13_c","bienestar_13_i","bienestar_13_h","bienestar_13_j","bienestar_13_k","bienestar_21","religion_82","religion_2","iden_pol_3","iden_pol_3_a","elec_part_37","elec_pres_144_a","elec_pres_144_b","constitucion_19","constitucion_20_a","constitucion_20_b","constitucion_34","constitucion_35_a","constitucion_35_b","iden_nacional_16","religion_14","info_enc_58","info_enc_30","info_enc_52_b","info_enc_65","gse","region","zona_u_r","pond","nom_region","encuesta","encuesta_a","encuesta_m","estrato","secu","id_bu_encuesta","id_bu"
"1",3,7,10,1,3,2,4,5,3,2,5,1,3,3,6,3,1,4,6,6,6,6,6,3,5,6,4,4,2,4,4,4,3,1,4,4,4,3,3,3,2,1,4,3,3,3,3,1,3,3,10,10,1,2,2,NA,NA,1,NA,NA,NA,4,10,10,10,10,10,10,10,10,5,10,10,1,2,2,2,3,4,2,1,1,1,2,5,4,1,2,2,2,3,2,1,11,2,1,1,10,1,NA,3,2,2,57,2,6,1,1,NA,10,10,10,10,10,10,10,4,1,8,15,15,1,2,NA,1,2,NA,1,3,NA,1,3,1,5,1,NA,3,9,2,0.60130613,9,89,2023,7,15,89282,1,"1-89"
"2",2,9,10,1,3,2,4,4,3,8,1,3,2,6,6,6,3,6,6,6,6,6,6,6,2,6,6,6,2,2,2,88,3,1,4,3,3,4,3,3,3,3,3,3,3,3,3,4,3,3,10,10,1,2,3,NA,NA,NA,NA,1,NA,3,1,1,1,5,7,4,10,10,1,1,8,2,2,2,2,88,88,3,3,4,5,3,3,4,3,3,3,3,6,2,3,11,1,4,2,9,1,NA,3,1,2,63,2,0,3,1,NA,9,8,9,9,8,8,9,4,2,4,15,15,1,1,NA,1,2,NA,2,NA,8,1,1,2,NA,1,NA,4,9,2,0.60130613,9,89,2023,7,15,89282,2,"2-89"
"3",17,14,16,3,3,2,8,5,3,2,10,1,5,3,9,2,2,9,8,8,9,8,8,5,5,8,4,4,4,5,4,88,1,1,4,2,4,3,2,1,4,1,4,4,4,1,2,1,2,2,10,10,1,1,1,1,1,NA,NA,NA,NA,3,8,0,10,9,0,1,1,0,10,10,10,1,1,5,1,2,3,2,1,1,1,1,1,1,2,3,3,2,8,88,1,2,10,1,1,10,1,NA,3,2,2,47,2,3,1,1,NA,10,10,10,10,10,0,10,3,2,2,18,NA,1,2,NA,1,2,NA,1,3,NA,1,2,2,NA,1,NA,4,11,1,0.7975934,11,89,2023,7,18,89131,3,"3-89"
"4",2,9,3,3,3,3,2,4,2,1,5,3,2,3,2,6,3,6,6,6,6,2,3,6,3,3,6,6,3,1,2,4,3,4,4,4,3,4,2,3,3,3,3,3,3,3,3,3,2,4,3,5,2,1,2,NA,NA,1,NA,NA,NA,4,6,9,9,5,1,9,8,9,6,9,9,3,3,4,4,4,4,2,3,3,4,2,3,3,2,3,3,3,2,1,9,6,1,5,1,5,1,1,3,1,2,23,2,8,1,2,3,5,9,9,8,9,9,9,2,10,8,15,15,1,1,NA,1,1,NA,2,NA,8,3,3,2,NA,1,NA,4,13,1,0.7350834,13,89,2023,7,20,89243,4,"4-89"
"5",13,3,10,3,3,4,1,2,1,1,5,4,3,3,6,4,3,4,6,6,6,6,6,2,4,6,4,3,4,1,3,4,2,3,3,3,2,3,2,4,3,2,2,2,3,2,2,2,2,4,10,6,1,2,3,NA,NA,NA,NA,1,NA,4,4,10,7,6,3,10,10,10,3,10,10,2,1,3,1,3,3,3,2,2,4,2,3,2,1,3,3,2,8,2,5,2,9,3,1,7,1,NA,2,2,2,34,2,5,1,2,4,10,10,10,10,10,10,10,1,9,8,15,15,1,1,NA,1,2,NA,1,1,NA,3,88,2,NA,1,NA,3,13,1,0.87343246,13,89,2023,7,20,89245,5,"5-89"
"6",3,5,9,2,1,4,2,8,8,1,4,4,6,4,6,4,3,4,6,6,6,6,6,6,2,6,2,6,4,2,6,4,2,2,3,4,88,3,88,3,88,2,2,4,2,3,4,3,2,2,5,10,1,1,1,1,NA,NA,NA,NA,NA,3,5,7,8,10,5,5,7,10,6,8,7,2,2,2,2,88,4,2,88,2,2,2,4,3,2,3,2,3,88,NA,1,9,2,2,2,10,1,NA,1,88,2,67,2,1,3,1,NA,0,10,10,10,10,10,10,1,2,8,15,15,1,1,NA,1,8,NA,1,5,NA,5,2,2,NA,1,NA,3,13,1,0.83086938,13,89,2023,7,20,89243,6,"6-89"
"7",3,5,7,2,2,3,2,3,2,1,5,4,2,6,6,6,3,6,6,6,6,6,6,6,3,6,6,3,6,1,3,4,3,4,4,3,3,4,3,2,2,4,2,3,4,3,4,3,2,3,5,10,1,1,1,1,NA,NA,NA,NA,NA,3,5,7,8,5,88,7,7,7,5,3,5,4,2,5,3,88,4,5,3,3,4,3,3,3,1,3,2,2,3,2,2,4,1,4,2,0,99,NA,1,1,1,20,1,6,1,2,6,0,10,10,10,10,10,10,1,9,8,15,15,1,1,NA,1,1,NA,1,4,NA,3,3,2,NA,1,NA,3,13,1,1.89903904,13,89,2023,7,20,89244,7,"7-89"
"8",9,26,3,3,2,3,3,3,2,1,5,3,3,6,6,3,3,6,6,6,6,6,6,6,4,6,6,6,6,3,6,3,3,1,4,3,88,3,88,88,4,3,3,3,4,1,3,3,3,1,7,10,1,1,3,NA,NA,NA,NA,99,NA,3,7,1,9,5,6,5,6,2,8,3,4,2,2,2,4,3,2,1,2,3,1,1,4,3,2,2,8,2,88,NA,2,9,3,1,2,0,1,NA,1,1,1,69,2,2,3,1,NA,9,7,9,8,8,9,9,4,2,4,15,15,1,3,NA,1,3,NA,1,6,NA,2,1,2,NA,1,NA,3,13,1,0.8638369,13,89,2023,7,20,89182,8,"8-89"
"9",11,3,5,3,1,4,1,3,2,1,6,3,3,2,2,4,3,2,6,3,6,6,3,2,3,3,3,4,2,2,1,3,3,3,4,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,8,10,1,2,3,NA,NA,NA,NA,1,NA,3,5,5,9,7,3,4,9,7,0,7,10,1,1,4,2,3,3,2,3,3,3,2,3,1,2,2,2,2,6,8,5,4,6,3,1,9,1,1,3,2,2,61,2,6,1,1,NA,10,10,10,10,10,10,10,2,1,5,15,9,1,1,NA,1,1,NA,1,4,NA,8,3,2,NA,1,NA,2,13,1,1.13738749,13,89,2023,7,20,89182,9,"9-89"
"10",17,1,3,1,3,2,2,5,3,2,6,1,2,2,2,2,2,2,6,2,6,6,6,2,3,4,4,2,2,2,2,3,3,3,4,3,4,4,3,4,3,1,4,4,3,3,3,1,3,3,1,10,1,1,1,1,NA,NA,NA,NA,NA,3,2,2,6,3,6,2,5,3,2,10,6,2,1,4,2,3,3,3,1,1,88,2,4,3,2,3,1,2,6,4,11,2,8,3,1,10,1,1,1,1,1,73,2,2,3,1,NA,7,10,10,10,10,10,10,3,1,5,15,15,1,1,NA,1,2,NA,1,3,NA,5,2,2,NA,1,NA,3,13,1,0.8638369,13,89,2023,7,20,89182,10,"10-89"
"11",3,10,17,2,2,3,3,5,2,2,5,2,3,6,6,6,2,6,6,6,6,6,6,6,4,6,6,6,6,6,1,4,2,4,4,3,3,4,2,3,3,3,3,3,3,3,3,1,2,4,5,10,1,2,2,NA,NA,1,NA,NA,NA,3,5,0,10,4,5,2,10,5,10,2,4,1,1,3,2,3,2,3,2,3,4,4,5,3,2,3,3,3,7,2,2,11,10,5,1,0,1,NA,3,2,1,38,2,8,1,2,6,10,10,6,10,10,10,5,2,9,8,15,15,2,NA,2,1,8,NA,2,NA,88,3,2,1,9,1,NA,3,13,1,3.33430456,13,89,2023,7,20,89178,11,"11-89"
"12",14,3,6,2,3,2,3,4,3,2,5,1,3,6,6,2,1,1,6,6,6,6,6,6,3,6,2,6,3,3,2,4,3,88,4,4,3,4,2,3,4,3,4,4,4,3,4,4,3,3,10,8,1,2,3,NA,NA,NA,NA,1,NA,4,5,10,10,10,88,5,10,10,88,5,0,3,2,4,3,88,3,3,2,3,4,3,2,2,3,4,3,4,8,7,1,6,7,4,2,10,1,NA,3,2,2,51,2,4,2,2,2,10,10,10,10,10,10,10,4,9,8,15,15,1,1,NA,1,2,NA,1,88,NA,3,2,2,NA,1,NA,4,8,1,0.89141489,8,89,2023,7,12,89103,12,"12-89"
"13",1,3,6,2,8,1,3,8,3,8,88,9,8,6,6,6,9,6,6,6,6,6,6,6,9,6,9,6,6,9,6,99,99,99,99,88,4,4,4,4,88,2,99,99,99,2,99,1,88,4,88,88,99,1,8,NA,NA,NA,NA,NA,NA,8,88,88,10,10,88,88,88,88,88,88,10,88,88,88,5,5,5,5,5,5,5,5,88,9,88,8,8,8,99,NA,2,3,1,1,1,88,99,NA,3,2,2,33,2,5,1,1,NA,10,10,10,10,10,10,10,3,3,1,15,15,2,NA,8,2,NA,8,88,NA,8,5,1,2,NA,2,4,2,13,1,0.62542572,13,89,2023,7,20,89156,13,"13-89"
"14",1,3,10,3,1,4,3,2,1,1,5,4,2,3,4,4,4,4,4,3,2,3,3,2,3,3,4,4,2,3,1,2,2,3,3,2,3,3,2,4,2,2,2,3,3,2,2,2,2,3,7,6,1,1,1,1,1,NA,NA,NA,NA,2,7,10,10,10,10,10,10,9,10,8,9,4,2,4,2,2,2,2,2,2,2,1,3,4,2,3,3,3,3,2,5,3,9,4,2,6,1,1,3,2,1,63,2,8,1,1,NA,10,10,10,10,9,10,10,1,1,1,15,15,1,1,NA,1,1,NA,1,4,NA,10,2,2,NA,1,NA,2,13,1,0.57898172,13,89,2023,7,20,89156,14,"14-89"
"15",2,3,9,2,1,3,2,3,1,1,4,4,2,2,3,4,4,4,6,3,6,4,2,1,1,2,1,2,1,1,2,4,4,4,4,4,4,4,3,4,4,4,3,4,4,4,3,2,1,4,5,5,2,1,1,1,NA,NA,NA,NA,NA,3,5,10,10,10,10,8,10,10,10,10,10,5,2,4,5,88,4,88,3,4,88,2,4,5,3,2,2,2,3,5,5,1,11,5,4,4,1,NA,3,2,1,50,2,5,1,1,NA,8,8,10,10,10,10,10,2,9,8,15,88,1,1,NA,1,1,NA,1,4,NA,5,2,1,5,1,NA,4,13,1,0.88219613,13,89,2023,7,20,89243,15,"15-89"
"16",3,10,1,1,3,4,5,8,3,2,99,2,6,6,6,2,6,6,6,6,6,6,6,6,4,6,6,4,6,4,6,4,3,1,4,88,88,3,2,88,88,3,4,88,88,88,4,1,2,3,10,10,99,1,3,NA,NA,NA,NA,99,NA,9,88,88,10,88,88,88,88,88,88,88,88,2,1,88,8,88,4,4,88,4,1,3,99,9,99,9,9,9,99,NA,5,3,6,4,4,10,99,NA,3,2,2,58,2,3,3,1,NA,2,10,10,10,10,10,10,1,2,2,99,99,9,NA,9,99,NA,9,99,NA,88,99,88,1,5,1,NA,3,13,1,0.96195109,13,89,2023,7,20,89245,16,"16-89"
"17",2,3,10,1,2,3,4,4,3,2,8,2,3,6,6,6,1,6,6,6,6,6,6,6,3,6,4,6,6,4,3,2,2,2,3,3,3,3,3,3,3,2,3,3,3,2,3,2,3,3,7,7,88,2,1,1,NA,NA,NA,NA,NA,2,10,10,10,10,88,88,10,10,10,7,9,1,1,4,4,88,2,88,2,2,2,2,88,2,88,8,8,8,3,7,1,10,7,88,1,0,1,1,3,2,1,41,2,6,1,1,NA,10,10,10,10,10,10,10,2,1,3,18,NA,1,2,NA,1,2,NA,1,3,NA,5,1,1,5,1,NA,3,13,1,1.85569926,13,89,2023,7,20,89159,17,"17-89"
"18",11,5,13,1,1,2,2,4,2,3,2,3,2,6,6,2,3,6,3,6,6,6,6,6,1,6,6,6,1,1,2,4,4,3,4,4,3,3,3,3,2,4,3,4,4,4,4,4,3,4,3,5,88,2,3,NA,NA,NA,NA,1,NA,5,88,6,10,5,5,10,3,10,10,88,8,5,3,3,3,88,3,3,4,4,2,3,4,5,2,2,8,2,4,5,11,3,4,5,4,5,1,NA,3,88,2,34,2,4,3,1,NA,10,10,10,10,10,10,10,4,2,4,15,15,1,1,NA,1,1,NA,1,7,NA,7,3,2,NA,1,NA,4,8,1,0.59003056,8,89,2023,7,12,89101,18,"18-89"
"19",16,11,10,3,1,3,2,3,1,1,3,5,1,3,2,4,5,5,6,3,3,4,3,2,3,3,3,5,2,1,1,4,4,4,3,3,3,4,1,4,2,4,2,3,3,3,3,3,2,2,6,5,1,1,1,1,NA,NA,NA,NA,NA,3,2,3,10,8,8,4,2,7,6,7,7,3,2,4,2,3,3,2,3,3,3,2,3,1,3,3,3,2,3,7,8,11,3,4,2,2,1,NA,3,2,1,41,2,4,2,2,5,0,10,6,10,10,10,10,2,11,8,16,NA,1,1,NA,1,1,NA,1,4,NA,1,3,2,NA,1,NA,3,13,1,1.39676289,13,89,2023,7,20,89232,19,"19-89"
"20",7,2,3,2,1,3,2,4,2,2,7,2,3,6,6,2,2,6,6,6,6,6,6,2,4,6,6,6,2,3,4,3,3,4,3,2,3,3,3,4,2,2,4,3,3,2,2,2,2,3,8,8,1,1,1,1,NA,NA,NA,NA,NA,3,5,8,10,7,10,3,10,8,7,5,5,3,2,4,4,3,2,88,3,88,88,2,2,3,1,2,3,3,6,8,7,4,10,4,2,7,99,NA,3,2,1,27,1,8,2,2,10,7,1,0,1,7,1,4,1,10,8,18,NA,2,NA,2,2,NA,2,2,NA,3,6,2,2,NA,1,NA,3,9,2,2.74636845,9,89,2023,7,15,89284,20,"20-89"
"21",1,5,13,2,2,3,3,3,2,2,10,2,3,6,6,8,2,6,6,6,6,6,6,6,8,6,6,6,6,1,6,1,1,3,3,1,1,1,1,3,1,1,4,4,3,1,3,1,3,1,10,10,1,2,1,1,1,NA,NA,NA,NA,3,10,5,10,10,8,10,10,10,0,0,10,3,1,2,3,4,1,1,3,3,1,1,4,1,1,2,2,2,8,1,2,6,9,1,1,10,1,1,3,2,1,33,2,4,1,1,NA,10,10,10,10,10,10,10,3,1,4,15,15,1,2,NA,1,1,NA,1,1,NA,5,2,2,NA,1,NA,3,13,1,1.01688571,13,89,2023,7,20,89219,21,"21-89"
"22",2,10,5,1,3,2,3,4,2,2,99,2,4,4,6,4,2,6,6,6,6,6,2,2,4,2,2,3,4,3,6,4,3,4,4,4,4,3,3,4,4,3,4,4,4,4,3,4,4,4,10,5,2,2,3,NA,NA,NA,NA,1,1,4,6,2,6,0,3,2,8,2,4,5,4,1,2,4,4,4,3,4,3,3,4,2,2,5,1,3,3,3,4,6,4,11,9,4,1,6,1,1,3,2,2,70,2,5,3,1,NA,10,10,10,9,10,10,10,4,9,8,15,15,1,8,NA,1,1,NA,1,5,NA,1,3,2,NA,1,NA,3,13,1,0.21613182,13,89,2023,7,20,89219,22,"22-89"
"23",3,6,1,3,1,3,2,4,2,2,5,2,4,6,6,6,2,6,6,6,6,6,6,6,4,6,6,6,6,3,2,3,4,4,4,4,3,3,3,4,4,4,4,3,3,3,4,4,3,3,10,10,2,2,3,NA,NA,NA,NA,1,NA,3,10,10,10,10,0,10,10,8,10,0,10,1,2,2,4,4,4,2,4,4,4,3,4,4,2,2,2,2,8,3,2,6,5,4,1,10,1,1,2,1,1,56,2,4,2,1,NA,4,10,10,10,10,10,10,2,9,8,15,15,1,2,NA,2,NA,2,1,3,NA,1,3,2,NA,1,NA,3,5,1,0.58384455,5,89,2023,7,6,89039,23,"23-89"
"24",7,13,10,2,3,2,2,4,3,2,99,2,4,6,6,4,4,2,6,6,6,6,6,6,4,6,6,4,6,4,6,3,3,3,4,3,1,1,1,3,4,1,3,4,3,3,3,2,1,3,7,10,1,2,3,NA,NA,NA,NA,1,1,4,5,7,3,6,5,5,10,5,4,10,10,2,1,2,2,3,1,3,1,3,1,1,2,1,2,3,3,2,4,8,1,2,4,1,1,8,99,NA,3,2,2,40,2,4,2,1,NA,10,1,1,0,10,0,0,2,1,6,15,15,1,2,NA,1,2,NA,1,3,NA,1,1,2,NA,1,NA,4,9,2,0.79694815,9,89,2023,7,15,89284,24,"24-89"
"25",10,13,5,2,2,3,3,4,1,3,4,4,4,4,4,4,4,6,6,6,6,6,6,6,2,6,6,6,4,8,4,3,1,4,4,3,2,3,2,4,3,2,3,3,3,3,3,2,2,3,6,8,1,2,3,NA,NA,NA,NA,1,NA,3,4,4,10,5,4,4,7,3,3,0,4,2,2,4,3,2,3,3,2,3,4,3,3,3,1,2,3,3,4,8,4,6,3,3,1,8,1,NA,3,1,1,45,2,2,1,1,NA,10,10,10,10,10,10,10,2,1,7,1,NA,2,NA,2,1,1,NA,1,7,NA,3,3,2,NA,1,NA,3,7,1,0.71260402,7,89,2023,7,10,89082,25,"25-89"
"26",26,10,7,2,2,3,3,3,2,2,5,2,4,3,6,2,2,1,6,3,6,6,6,3,4,6,4,3,3,5,3,1,1,3,3,1,1,3,1,4,3,1,3,1,4,3,1,2,1,4,10,10,1,1,1,99,NA,NA,NA,NA,NA,3,5,3,7,3,3,3,8,3,6,1,7,1,1,3,2,3,1,3,2,3,2,1,2,3,1,2,1,1,6,2,11,1,2,3,1,8,1,NA,3,2,2,48,2,3,3,1,NA,10,10,10,10,10,10,10,2,1,5,15,18,1,2,NA,1,1,NA,1,3,NA,1,2,2,NA,1,NA,3,7,1,0.26547168,7,89,2023,7,10,89082,26,"26-89"
"27",3,13,10,4,3,4,3,4,3,2,88,2,3,6,6,2,2,4,4,4,6,6,6,2,4,4,4,2,3,3,1,3,1,3,3,3,3,3,88,88,88,1,3,4,88,1,1,2,3,2,5,10,1,1,2,NA,NA,1,1,NA,NA,3,7,10,6,8,88,7,8,10,5,7,7,1,1,4,4,3,2,3,2,2,88,1,2,4,2,3,3,2,88,NA,7,3,2,2,2,10,99,NA,3,2,2,82,2,2,3,1,NA,0,10,6,8,8,10,10,2,3,8,15,15,1,2,NA,1,2,NA,1,3,NA,4,1,2,NA,1,NA,3,13,1,0.65974986,13,89,2023,7,20,89179,27,"27-89"
"28",3,9,2,2,2,3,4,5,3,2,7,1,2,3,2,1,1,2,2,2,6,6,6,4,5,4,4,3,2,4,2,1,1,4,4,4,4,4,3,4,2,1,4,4,2,3,4,1,2,4,8,10,1,1,1,1,1,NA,NA,NA,NA,5,5,10,7,10,8,0,10,5,5,0,10,4,5,4,3,3,2,2,1,3,3,3,2,1,1,2,4,5,2,3,11,10,7,2,1,10,1,1,2,2,1,57,2,4,1,1,NA,10,10,10,10,10,10,10,2,1,6,18,NA,1,2,NA,1,2,NA,1,3,NA,1,2,1,5,1,NA,3,13,1,1.85197514,13,89,2023,7,20,89230,28,"28-89"
"29",17,10,14,1,2,2,3,5,2,2,5,2,3,3,6,3,3,6,6,6,6,6,3,6,4,6,6,3,3,3,6,4,3,4,4,4,3,3,2,3,4,3,4,3,3,3,2,3,3,3,6,8,1,2,1,99,NA,NA,NA,NA,NA,4,5,0,10,4,88,2,8,7,4,8,7,2,3,3,4,4,4,2,2,3,5,2,3,4,1,3,4,2,2,8,11,1,9,4,2,7,1,NA,3,1,2,49,2,4,1,1,NA,10,10,10,10,10,10,10,3,11,8,15,15,1,2,NA,1,2,NA,1,4,NA,1,2,2,NA,1,NA,4,7,1,0.79641503,7,89,2023,7,10,89082,29,"29-89"
"30",10,1,26,2,2,2,4,4,2,2,10,1,5,4,6,6,3,6,6,6,6,6,6,6,1,6,2,6,5,4,6,2,2,3,4,4,4,4,4,4,4,4,4,4,2,4,4,2,2,4,10,8,1,2,3,NA,NA,NA,NA,99,NA,4,9,1,3,5,1,6,8,4,2,10,9,2,1,5,4,88,4,4,4,1,1,4,2,1,3,3,2,3,5,6,8,2,11,3,4,1,99,NA,2,2,1,48,2,1,3,1,NA,10,9,4,9,10,10,10,3,2,2,5,NA,1,2,NA,1,2,NA,2,NA,8,4,2,2,NA,1,NA,4,7,1,1.06890604,7,89,2023,7,10,89082,30,"30-89"
"31",5,6,13,1,3,2,4,4,3,2,88,2,4,5,6,3,2,6,6,8,6,6,6,8,4,6,8,4,3,4,4,4,3,4,4,4,3,3,3,3,4,3,4,4,3,3,4,3,3,3,3,10,1,1,3,NA,NA,NA,NA,1,NA,5,5,7,5,88,6,0,10,0,4,10,4,1,1,3,8,3,3,4,2,4,4,1,4,5,2,4,3,3,3,4,1,6,9,4,2,0,1,NA,3,2,2,42,2,3,1,1,NA,10,0,10,2,10,0,10,2,1,8,15,15,1,1,NA,1,2,NA,1,7,NA,2,2,1,5,1,NA,4,7,1,1.62757334,7,89,2023,7,10,89082,31,"31-89"
"32",1,6,10,2,3,2,8,4,2,2,88,3,4,8,6,6,1,8,6,4,6,6,6,6,2,8,6,4,6,4,2,3,3,3,3,3,2,4,1,3,3,2,3,4,3,3,3,2,1,4,10,10,2,1,3,NA,NA,NA,NA,1,NA,4,5,1,9,7,5,88,8,1,1,10,8,1,2,4,4,3,3,3,1,4,4,3,4,4,2,3,3,3,8,4,1,9,11,3,1,10,1,1,3,2,2,51,2,3,2,1,NA,10,1,10,10,10,10,1,4,1,8,15,15,2,NA,2,1,2,NA,1,7,NA,1,3,2,NA,1,NA,4,7,1,1.0618867,7,89,2023,7,10,89082,32,"32-89"
"33",3,5,14,3,1,4,1,5,2,3,5,3,3,5,6,4,3,6,6,6,6,6,6,3,3,6,6,4,3,2,3,3,3,3,4,3,4,4,3,3,3,3,3,3,3,3,4,3,2,4,6,10,1,1,1,1,1,NA,NA,NA,NA,4,8,4,10,10,3,5,6,4,10,2,10,3,4,4,2,2,1,4,3,3,3,3,2,3,2,3,3,4,8,4,11,5,1,4,1,6,1,1,3,2,2,48,2,6,3,2,3,3,5,7,5,5,3,3,1,9,8,15,1,1,1,NA,1,1,NA,1,7,NA,5,3,1,5,1,NA,3,13,1,1.02589349,13,89,2023,7,20,89219,33,"33-89"
"34",11,9,7,2,2,3,3,3,2,1,5,4,2,6,6,4,3,6,6,6,6,6,6,6,2,6,6,6,4,6,6,3,1,3,3,3,4,3,2,4,3,3,3,4,3,3,3,2,2,3,1,10,2,2,1,1,NA,NA,NA,NA,NA,3,10,10,10,10,10,10,0,0,10,0,10,2,1,3,3,88,3,3,3,3,3,2,88,8,2,3,2,3,88,NA,3,2,6,2,2,0,99,NA,3,1,2,75,2,3,3,2,4,10,10,10,10,10,10,10,1,1,8,15,15,1,3,NA,1,9,NA,1,6,NA,1,2,2,NA,1,NA,4,13,1,0.86452729,13,89,2023,7,20,89219,34,"34-89"
"35",9,3,10,2,3,3,4,5,3,2,99,1,3,2,6,3,1,6,6,8,6,6,6,8,2,6,6,6,6,2,2,4,3,2,4,4,2,3,2,4,3,4,4,4,3,3,4,3,3,4,10,10,2,1,3,NA,NA,NA,NA,1,1,5,0,0,5,0,0,0,1,0,4,10,5,2,1,5,2,3,3,2,4,3,1,4,4,4,3,5,4,5,5,3,1,6,2,5,4,10,1,1,3,2,2,41,2,5,3,1,NA,10,10,10,10,10,10,10,3,2,7,15,88,1,1,NA,1,9,NA,1,7,NA,1,2,1,5,1,NA,3,13,1,0.64925146,13,89,2023,7,20,89220,35,"35-89"
"36",7,10,1,2,2,3,2,3,3,2,7,1,4,6,6,6,3,6,6,6,3,6,6,6,3,6,6,6,6,6,4,3,4,2,4,4,3,4,3,4,4,4,4,3,3,4,4,1,4,3,7,10,2,2,1,99,NA,NA,NA,NA,NA,4,0,10,10,10,0,88,0,10,10,10,88,1,1,4,2,4,4,4,4,4,4,4,4,5,3,4,4,5,8,2,1,11,4,4,1,10,99,NA,3,2,2,24,2,3,2,1,NA,10,10,10,10,10,10,10,4,99,99,15,99,9,NA,9,99,NA,9,99,NA,99,1,2,9,NA,2,9,3,13,1,0.48943053,13,89,2023,7,20,89210,36,"36-89"
"37",10,1,3,1,2,3,3,3,2,2,7,1,3,3,6,1,1,3,6,2,6,6,6,3,3,6,6,6,3,3,6,3,1,3,3,4,3,4,3,88,3,1,4,4,3,4,4,2,4,4,1,10,1,1,1,1,1,NA,NA,NA,NA,3,10,10,10,10,0,3,10,9,10,10,10,2,1,1,4,88,3,4,3,3,88,4,5,2,1,3,1,3,8,6,1,2,8,1,1,1,1,1,3,2,1,85,2,1,3,1,NA,5,1,8,0,8,9,0,3,1,8,10,NA,1,2,NA,1,2,NA,1,5,NA,1,2,2,NA,1,NA,5,9,2,1.26543012,9,89,2023,7,15,89284,37,"37-89"
"38",7,3,5,2,2,3,3,4,2,1,6,3,3,3,6,3,1,3,6,3,3,3,6,4,4,6,6,3,4,3,2,2,2,3,3,2,4,4,2,4,88,2,3,2,3,2,2,2,2,2,7,10,1,1,1,1,1,NA,NA,NA,NA,2,10,10,10,10,10,10,10,10,10,88,10,1,4,4,3,1,3,1,1,88,1,1,2,2,1,8,8,8,7,8,4,5,3,4,1,5,1,1,3,88,2,50,2,4,1,2,1,0,10,10,10,10,10,10,2,1,3,15,21,1,2,NA,1,2,NA,1,5,NA,3,2,2,NA,1,NA,2,9,2,1.82302839,9,89,2023,7,15,89284,38,"38-89"
"39",1,3,10,2,3,4,4,9,2,2,10,6,3,6,6,6,3,6,6,6,6,6,6,6,3,6,6,6,6,6,6,4,88,4,4,2,3,3,3,88,4,1,88,88,4,2,88,1,4,4,88,10,88,1,3,NA,NA,NA,NA,1,1,4,88,10,88,88,88,10,88,10,88,10,88,1,1,88,2,88,3,4,3,2,88,2,88,5,1,8,8,2,99,NA,88,NA,NA,1,88,10,99,NA,88,88,2,75,2,1,3,1,NA,10,10,10,10,10,10,10,2,3,6,15,15,1,3,NA,1,1,NA,2,NA,8,88,1,2,NA,1,NA,4,9,2,2.32636942,9,89,2023,7,15,89284,39,"39-89"
