"","percepcion_1_a","percepcion_1_b","percepcion_1_c","percepcion_2","percepcion_3","percepcion_5","percepcion_6","percepcion_38","percepcion_4","eval_gob_1","iden_pol_2","eval_act_pol_1_fh","eval_act_pol_1_p","eval_act_pol_1_ao","eval_act_pol_1_gp","eval_act_pol_1_ca","eval_act_pol_1_el","eval_act_pol_1_gm","eval_act_pol_1_gt","eval_act_pol_1_fo","eval_act_pol_1_go","eval_act_pol_1_gf","eval_act_pol_1_gq","eval_act_pol_1_fe","eval_act_pol_1_ae","eval_act_pol_1_gs","eval_act_pol_1_gu","eval_act_pol_1_em","eval_act_pol_1_en","eval_act_pol_1_dv","eval_act_pol_1_er","confianza_6_a","confianza_6_c","confianza_6_b","confianza_6_j","confianza_6_d","confianza_6_e","confianza_6_f","confianza_6_n","confianza_6_x","confianza_6_g","confianza_6_h","confianza_6_i","confianza_6_k","confianza_6_s","confianza_6_o","confianza_6_p","confianza_6_r","confianza_6_m","confianza_6_ab","pobreza_62","democracia_19","pp_congreso_61_b","rol_gobierno_5","democracia_21","democracia_21_a_1","democracia_21_a_2","democracia_21_b_1","democracia_21_b_2","democracia_21_c_1","democracia_21_c_2","democracia_20","democracia_35_a","democracia_35_b","democracia_35_c","democracia_35_d","democracia_35_e","democracia_35_f","democracia_35_g","democracia_35_h","democracia_35_i","democracia_35_j","democracia_35_k","ciudadania_28_a","ciudadania_28_c","pobreza_106_a","rol_gobierno_14_c","confianza_15_a","confianza_15_b","confianza_15_c","confianza_15_d","confianza_15_e","confianza_15_f","confianza_15_g","constitucion_30","constitucion_31","constitucion_3","constitucion_32_a","constitucion_32_b","constitucion_32_c","constitucion_33_a","constitucion_33_b","seguridad_37_a","seguridad_37_b","seguridad_37_c","seguridad_38_a","seguridad_38_b","democracia_36","dictadura_34_a","dictadura_34_b","salud_83","salud_84","sexo","edad","info_enc_61","esc_nivel_1","info_enc_56","info_enc_57","info_hogar_28_c","bienestar_13_a","bienestar_13_g","bienestar_13_c","bienestar_13_i","bienestar_13_h","bienestar_13_j","bienestar_13_k","bienestar_21","religion_82","religion_2","iden_pol_3","iden_pol_3_a","elec_part_37","elec_pres_144_a","elec_pres_144_b","constitucion_19","constitucion_20_a","constitucion_20_b","constitucion_34","constitucion_35_a","constitucion_35_b","iden_nacional_16","religion_14","info_enc_58","info_enc_30","info_enc_52_b","info_enc_65","gse","region","zona_u_r","pond","nom_region","encuesta","encuesta_a","encuesta_m","estrato","secu","id_bu_encuesta","id_bu"
"826",2,3,7,2,3,2,4,3,3,8,88,3,4,4,6,6,4,6,6,6,6,6,6,6,4,6,3,6,6,3,6,1,1,1,3,4,4,4,4,4,4,1,4,4,1,1,3,1,1,2,10,10,88,1,1,1,NA,NA,NA,NA,NA,3,10,10,10,10,10,10,10,10,10,10,10,1,2,1,1,1,1,1,1,3,1,3,2,2,2,2,2,4,5,3,2,8,10,1,1,10,1,NA,1,1,1,84,2,2,3,1,NA,0,0,0,0,10,0,0,3,2,2,15,15,1,1,NA,1,1,NA,1,99,NA,1,2,2,NA,1,NA,4,13,1,0.22758476,13,89,2023,7,20,89251,826,"826-89"
"827",3,10,9,2,3,3,4,5,3,2,10,1,4,1,6,1,1,1,6,6,6,1,6,6,4,6,1,6,4,4,1,3,2,1,3,3,3,3,3,3,3,1,4,4,3,3,4,1,3,3,2,10,2,2,1,1,NA,NA,NA,NA,NA,2,5,5,4,5,3,3,5,6,3,5,6,1,1,3,4,3,3,3,5,3,2,3,5,5,3,5,5,5,88,NA,1,6,11,4,1,0,1,NA,3,2,2,37,2,4,1,1,NA,8,10,10,10,8,10,10,3,2,3,18,NA,1,2,NA,1,2,NA,1,3,NA,1,1,1,5,1,NA,3,9,1,0.77818467,9,89,2023,7,14,89112,827,"827-89"
"828",1,10,5,2,2,2,4,4,1,1,88,4,2,2,4,4,4,4,4,4,6,2,6,2,2,2,2,4,2,2,2,1,3,4,4,4,1,4,4,4,4,3,3,4,4,4,4,3,4,4,1,10,1,1,1,1,NA,NA,NA,NA,NA,3,10,4,10,0,10,10,10,6,10,10,10,1,3,5,2,2,3,4,4,2,1,4,4,5,3,3,2,3,8,6,2,4,6,5,1,6,1,NA,3,1,2,70,2,3,3,2,2,10,10,10,10,10,10,10,3,1,8,15,15,1,1,NA,1,1,NA,1,99,NA,2,2,2,NA,1,NA,3,13,1,0.68744838,13,89,2023,7,20,89230,828,"828-89"
"829",3,9,14,2,3,3,4,4,3,2,88,2,2,6,6,6,6,6,6,6,6,6,6,6,8,8,6,6,6,6,8,4,4,1,4,4,4,4,4,4,4,88,4,4,4,4,4,4,4,2,5,10,88,2,3,NA,NA,NA,NA,1,NA,3,88,3,10,10,88,3,10,5,10,10,10,2,1,5,2,88,88,88,88,1,1,1,3,3,2,4,4,4,5,8,1,6,11,4,1,5,1,NA,3,2,2,60,2,1,2,1,NA,10,10,10,10,10,10,10,3,2,2,20,NA,2,NA,9,2,NA,9,2,NA,99,2,2,1,5,1,NA,4,13,1,0.36721334,13,89,2023,7,20,89230,829,"829-89"
"830",3,9,26,3,2,3,3,4,2,2,88,2,4,6,6,8,2,6,6,6,6,6,6,6,4,4,4,8,8,8,6,1,1,4,4,4,3,4,2,4,1,3,4,4,3,3,4,3,1,4,5,7,2,2,1,1,NA,NA,NA,NA,NA,3,5,3,9,4,3,2,88,8,10,10,7,4,1,4,4,4,1,4,3,1,4,1,2,1,1,2,2,2,8,2,1,11,6,5,1,10,99,NA,3,1,1,60,2,4,1,1,NA,10,10,10,10,5,10,10,4,9,8,15,15,1,4,NA,2,NA,2,2,NA,8,4,1,2,NA,1,NA,3,13,1,2.13526719,13,89,2023,7,20,89231,830,"830-89"
"831",1,2,5,3,1,3,2,5,2,1,1,4,1,1,4,4,5,4,4,4,6,2,4,1,2,2,1,4,1,1,1,4,3,4,4,3,4,4,3,4,3,3,2,3,4,4,3,1,3,4,1,1,1,2,1,1,NA,NA,NA,NA,NA,3,5,5,10,5,7,3,10,5,10,10,5,4,1,3,2,3,3,3,3,3,3,1,5,1,3,3,3,3,3,8,1,2,8,4,1,8,1,NA,3,2,1,68,2,4,3,1,NA,5,0,8,10,10,10,10,2,9,8,3,NA,1,1,NA,1,1,NA,1,4,NA,5,3,2,NA,1,NA,4,13,1,1.15760749,13,89,2023,7,20,89231,831,"831-89"
"832",2,9,6,2,3,3,3,4,3,2,8,3,4,4,3,4,2,3,3,3,4,4,3,3,5,4,4,4,3,4,2,3,1,2,3,3,2,2,1,3,3,1,3,2,2,3,4,2,3,3,10,10,1,2,1,1,NA,NA,NA,NA,NA,2,9,10,10,6,10,7,10,10,10,8,8,3,2,3,2,2,4,3,2,5,3,1,2,2,1,2,1,3,8,2,10,4,2,2,2,5,1,NA,3,2,2,57,2,4,3,1,NA,5,10,10,10,10,10,10,2,1,6,13,NA,1,2,NA,1,2,NA,1,5,NA,5,2,2,NA,1,NA,3,8,1,0.65105537,8,89,2023,7,12,89096,832,"832-89"
"833",2,26,13,1,3,3,3,5,3,2,9,1,4,4,2,1,2,2,1,1,2,3,2,4,4,4,5,3,3,5,3,2,2,2,3,3,4,3,2,2,4,1,4,3,2,3,3,1,3,4,9,9,1,1,1,1,NA,NA,NA,NA,NA,3,8,10,10,10,9,7,8,10,10,8,6,1,1,2,2,3,4,3,2,3,2,3,4,4,3,3,3,3,2,3,1,4,3,2,2,4,1,NA,3,2,1,57,2,6,1,1,NA,7,9,9,10,9,10,10,2,1,4,18,NA,1,2,NA,1,2,NA,1,3,NA,5,2,2,NA,1,NA,3,8,1,0.41043524,8,89,2023,7,12,89096,833,"833-89"
"834",2,17,14,1,3,3,3,5,3,2,5,1,3,2,8,2,1,1,6,3,6,3,3,2,4,6,6,2,4,3,4,3,3,3,4,3,3,3,3,3,3,2,4,3,2,3,4,3,2,4,9,9,1,2,2,NA,NA,1,NA,NA,NA,4,8,10,10,10,9,5,6,9,7,3,10,1,2,2,2,3,3,1,2,3,1,1,4,4,3,4,3,3,2,8,11,1,2,3,1,9,1,NA,3,2,2,50,2,4,3,2,4,10,10,10,10,10,5,5,2,1,4,15,15,1,2,NA,1,2,NA,1,88,NA,1,3,2,NA,1,NA,3,8,1,1.08473688,8,89,2023,7,12,89096,834,"834-89"
"835",17,1,3,3,1,3,2,4,2,2,7,2,3,6,4,2,1,6,6,4,4,6,6,2,4,6,6,6,2,3,3,4,2,2,3,4,3,3,2,2,2,3,3,3,3,3,4,3,2,4,10,9,1,1,1,1,NA,NA,NA,NA,NA,3,3,10,10,3,7,10,6,10,9,10,10,2,1,3,3,3,3,2,3,3,3,3,4,4,2,4,3,3,3,6,3,10,6,3,2,10,99,NA,3,2,2,40,2,4,1,2,2,10,10,10,8,10,6,10,3,2,4,15,17,1,2,NA,2,NA,2,1,1,NA,3,1,2,NA,1,NA,3,8,1,0.88671799,8,89,2023,7,12,89096,835,"835-89"
